영화코드,누적관객수,영화이름
20196309,6685136,스파이더맨: 파 프롬 홈
20183867,10161238,알라딘
20184047,3151062,토이 스토리 4
20185353,220182,기방도령
20183782,9919835,기생충
20185986,106756,진범
20191601,101245,극장판 엉덩이 탐정: 화려한 사건 수첩
20199951,459037,애나벨 집으로
20196655,913066,존 윅 3: 파라벨룸
20192151,45707,미드소마
20198453,1076588,롱 리브 더 킹: 목포 영웅
20190273,228365,천로역정: 천국을 찾아서
20182585,199009,비스트
20192591,25000,BIFAN2019 판타스틱 단편 걸작선 1
20192022,37437,마담 싸이코
20196657,843649,맨 인 블랙: 인터내셔널
20190885,46546,사탄의 인형
20182387,860921,엑스맨: 다크 피닉스
20190466,31379,세상을 바꾼 변호인
19880001,142372,이웃집 토토로
20191401,30244,업사이드
20198291,98703,로켓맨
20184889,13887813,어벤져스: 엔드게임
20188941,3346654,악인전
20184865,352862,고질라: 킹 오브 몬스터
20199063,44189,빅샤크2: 해저2만리
20188144,133522,0.0MHz
20184082,1618601,걸캅스
20199448,193949,어린 의뢰인
20198597,65399,교회오빠
20199822,88514,더 보이
20187981,270270,배심원들
20198598,680420,명탐정 피카츄
20185784,1462434,나의 특별한 형제
20198183,752508,뽀로로 극장판 보물섬 대모험
20185384,61163,호텔 뭄바이
20197503,19684,서스페리아
20197147,50816,어글리 돌
20169323,25540,안도 타다오
20183096,1191113,생일
20181877,5796057,캡틴 마블
20060347,482408,판의 미로 - 오필리아와 세 개의 열쇠
20199736,10185,프렌즈: 둥지탈출
20183454,197125,요로나의 저주
20180825,279305,미성년
20198982,90320,크게 될 놈
19990220,49958,노팅 힐
20176103,3388756,돈
20198104,131698,바이스
20185406,311910,헬보이
20182501,46139,왓칭
20198844,83953,아이 엠 마더
20196244,636971,샤잠!
20185352,1450902,어스
20197423,87134,공포의 묘지
20183773,390548,장난스런 키스
20198403,67395,파이브 피트
20196025,296253,덤보
20197092,46938,로망
20198146,35223,콜레트
20197846,254451,악질경찰
20175407,175481,우상
20166301,26086,썬키스 패밀리
20197483,46858,1919 유관순
20197283,544462,이스케이프 룸
20197356,93476,라스트 미션
20198603,24340,페이트 스테이 나이트 헤븐즈필 제2장 로스트 버터플라이
20197617,22534,정글북: 마법 원정대
20184574,409871,그린 북
20196601,1143977,항거:유관순 이야기
20182530,16243231,극한직업
20185881,2519150,증인
20177539,2389760,사바하
20196723,18305,숲속왕국의 꿀벌 여왕
20180937,133508,더 페이버릿: 여왕의 여자
20177282,16489,리노
20176442,168884,자전차왕 엄복동
20195743,281705,신데렐라:마법 반지의 비밀
20195791,70827,"어쩌다, 결혼"
20186261,1498759,드래곤 길들이기 3
20188282,1946206,알리타: 배틀 엔젤
20195915,392397,해피 데스데이 2 유
20020222,79301,해리포터와 비밀의 방
20185576,78303,콜드 체이싱
20184888,199519,메리 포핀스 리턴즈
20174169,216254,기묘한 가족
20180868,1821147,뺑반
20162003,83376,명탐정 코난:전율의 악보
20185478,558144,극장판 헬로카봇: 옴파로스 섬의 비밀
20185444,71030,레고 무비2
20184105,2848736,말모이
20185124,342366,러브 유어셀프 인 서울
20184896,87787,가버나움
20176251,1910802,내안의 그놈
20189463,1754950,주먹왕 랄프 2: 인터넷 속으로
20182544,452460,글래스
20186324,176837,언더독
20185485,9910706,보헤미안 랩소디
20189385,30571,몬스터 파크
20180290,5019235,아쿠아맨
20183915,379569,극장판 공룡메카드: 타이니소어의 섬
20182588,77985,미래의 미라이
20186281,1553491,범블비
20170658,1665200,PMC: 더 벙커
20175547,1462873,스윙키즈
20183785,521053,점박이 한반도의 공룡2 : 새로운 낙원
20184187,172338,언니
20182421,543813,그린치
20168773,1787825,마약왕
20183479,259753,극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~
20183238,628327,스파이더맨: 뉴 유니버스
20177552,3723913,국가부도의 날
20179230,1546002,도어락
20183375,86997,극장판 포켓몬스터 모두의 이야기
20189843,408425,호두까기 인형과 4개의 왕국
20182082,87501,부탁 하나만 들어줘
20178825,262070,모털 엔진
20183745,180709,런닝맨 : 풀룰루의 역습
20177538,5270621,완벽한 타인
20184481,1567264,성난황소
20181905,276658,후드
20176814,2403686,신비한 동물들과 그린델왈드의 범죄
20183073,78439,베일리 어게인
20181171,229837,바울
20183007,25172,거미줄에 걸린 소녀
20182966,20419,투 프렌즈
20183050,298402,번 더 스테이지: 더 무비
20182935,71407,출국
20182669,24325,툴리
20186822,48910,너의 췌장을 먹고 싶어
20170513,445625,동네사람들
20189869,15745,해피 투게더
20174981,1588443,창궐
20010291,259733,해리포터와 마법사의 돌
20179006,55997,여곡성
20181404,211233,벽 속에 숨은 마법시계
20180523,458917,스타 이즈 본
20182693,21400,구스범스: 몬스터의 역습
20180987,90492,할로윈
20179189,3777611,암수살인
20189067,710780,미쓰백
20182403,147806,크레이지 리치 아시안
20186321,630470,퍼스트맨
20177221,3851409,베놈
20189123,486038,곰돌이 푸 다시 만나 행복해
20176122,5413370,안시성
